Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME,LONG_DEC,LAT_DEC,Year,Month,Count
2,01,12,01.9,0.2,37,53.8,1.1,143,51.7,1.0,18,,3.0V,,,"(2, 64)",FAR E OFF MIYAGI PREF,143.86166666666668,37.89666666666667,2011,6,690
2,02,07,11.7,0.3,38,06.5,0.8,142,41.8,1.3,36,5,2.6V,,,"(2, 65)",E OFF MIYAGI PREF,142.69666666666666,38.108333333333334,2011,6,717
2,02,10,41.9,0.1,38,01.0,0.3,141,44.2,0.4,53,1,2.4V,,,"(2, 68)",SE OFF MIYAGI PREF,141.73666666666668,38.016666666666666,2011,6,719
2,02,27,59.3,0.4,37,58.9,1.7,143,09.8,2.4,39,,3.6V,,,"(2, 64)",FAR E OFF MIYAGI PREF,143.16333333333333,37.98166666666667,2011,6,724
2,02,37,47.7,0.4,37,43.4,0.9,142,47.3,2.1,17,,2.9V,,,"(2, 70)",FAR E OFF FUKUSHIMA PREF,142.78833333333333,37.723333333333336,2011,6,726
2,02,52,41.9,0.2,38,57.6,1.1,143,58.8,1.4,23,,2.7V,,,"(2, 63)",FAR E OFF SANRIKU,143.98,38.96,2011,6,733
2,03,08,44.9,0.1,38,27.5,0.2,141,35.0,0.4,57,1,2.7V,,,"(2, 66)",KINKAZAN REGION,141.58333333333334,38.458333333333336,2011,6,739
2,03,21,55.8,0.1,38,21.5,0.4,142,01.7,0.6,30,1,2.3V,,,"(2, 65)",E OFF MIYAGI PREF,142.02833333333334,38.358333333333334,2011,6,745
2,03,23,51.0,0.1,38,23.4,0.5,142,15.4,0.8,32,2,3.4V,,,"(2, 65)",E OFF MIYAGI PREF,142.25666666666666,38.39,2011,6,747
2,03,32,30.0,0.1,38,19.5,0.4,141,51.3,0.7,47,1,2.4V,,,"(2, 65)",E OFF MIYAGI PREF,141.855,38.325,2011,6,752
2,03,35,17.9,0.2,38,27.6,0.5,142,13.4,0.9,27,2,2.4V,,,"(2, 65)",E OFF MIYAGI PREF,142.22333333333333,38.46,2011,6,755
2,04,40,05.4,0.2,37,48.3,1.2,143,43.9,1.4,0,,3.3V,,,"(2, 64)",FAR E OFF MIYAGI PREF,143.73166666666665,37.805,2011,6,775
2,04,42,23.8,0.5,38,05.8,2.2,144,05.8,2.9,0,,3.8V,,,"(8,327)",FAR E OFF NORTH HONSHU,144.09666666666666,38.096666666666664,2011,6,776
2,05,12,55.1,0.2,38,09.0,0.9,144,05.4,1.1,23,,3.1V,,,"(8,327)",FAR E OFF NORTH HONSHU,144.09,38.15,2011,6,792
2,05,53,08.9,0.1,39,10.4,0.2,142,20.0,0.5,32,1,2.9V,,,"(2, 62)",E OFF IWATE PREF,142.33333333333334,39.17333333333333,2011,6,806
2,06,25,40.7,0.1,38,00.6,0.3,141,50.7,0.6,48,1,3.5V,,,"(2, 68)",SE OFF MIYAGI PREF,141.845,38.01,2011,6,819
2,06,30,45.1,0.1,38,17.9,0.4,142,11.6,0.8,33,1,2.8V,,,"(2, 65)",E OFF MIYAGI PREF,142.19333333333333,38.29833333333333,2011,6,822
2,06,40,07.3,0.1,37,39.6,0.3,142,00.4,0.8,21,3,2.8V,,,"(2, 68)",SE OFF MIYAGI PREF,142.00666666666666,37.66,2011,6,825
2,07,17,05.6,0.1,38,42.0,0.2,142,14.3,0.6,38,1,3.7V,,1,"(2, 65)",E OFF MIYAGI PREF,142.23833333333334,38.7,2011,6,843
2,07,57,46.8,0.1,38,22.7,0.2,141,45.8,0.5,58,1,2.8V,,,"(2, 65)",E OFF MIYAGI PREF,141.76333333333332,38.37833333333333,2011,6,863
2,08,34,38.7,0.4,37,55.3,1.6,144,12.5,2.0,31,,3.5V,,,"(8,327)",FAR E OFF NORTH HONSHU,144.20833333333334,37.92166666666667,2011,6,884
2,09,27,47.3,0.2,38,14.1,0.5,142,11.9,1.0,39,2,3.4V,,,"(2, 65)",E OFF MIYAGI PREF,142.19833333333332,38.235,2011,6,898
2,09,29,44.0,0.1,38,16.3,0.3,141,52.6,0.5,64,1,3.9D,4.2V,2,"(2, 65)",E OFF MIYAGI PREF,141.87666666666667,38.27166666666667,2011,6,899
2,09,57,42.6,0.1,38,29.1,0.4,142,16.2,0.7,23,2,2.6V,,,"(2, 65)",E OFF MIYAGI PREF,142.27,38.485,2011,6,904
2,11,03,55.7,0.1,38,45.8,0.3,142,10.5,0.7,37,2,3.5V,,1,"(2, 65)",E OFF MIYAGI PREF,142.175,38.763333333333335,2011,6,926
2,11,15,37.7,0.1,38,10.2,0.3,141,45.4,0.5,55,1,4.0D,4.5V,2,"(2, 65)",E OFF MIYAGI PREF,141.75666666666666,38.17,2011,6,931
2,11,55,58.4,0.1,37,40.0,0.2,141,52.1,0.5,18,2,2.8V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.86833333333334,37.666666666666664,2011,6,946
2,12,01,48.6,0.2,38,24.4,0.4,142,10.5,0.9,31,2,2.4V,,,"(2, 65)",E OFF MIYAGI PREF,142.175,38.406666666666666,2011,6,950
2,12,02,03.3,0.2,37,37.3,1.0,144,07.9,1.3,3,,4.1V,,,"(8,327)",FAR E OFF NORTH HONSHU,144.13166666666666,37.62166666666667,2011,6,951
2,12,08,19.4,0.1,39,04.9,0.4,142,22.9,0.9,32,2,1.6V,,,"(2, 62)",E OFF IWATE PREF,142.38166666666666,39.08166666666666,2011,6,954
2,12,08,35.4,0.1,39,11.2,0.2,142,22.5,0.5,32,1,1.6V,,,"(2, 62)",E OFF IWATE PREF,142.375,39.18666666666667,2011,6,955
2,12,10,28.0,0.2,37,35.8,0.4,142,01.3,1.1,25,4,3.5V,,,"(2, 69)",E OFF FUKUSHIMA PREF,142.02166666666668,37.596666666666664,2011,6,957
2,12,18,30.1,0.1,38,20.1,0.3,141,53.3,0.5,63,1,3.5V,,1,"(2, 65)",E OFF MIYAGI PREF,141.88833333333332,38.335,2011,6,963
2,12,27,29.7,0.1,38,24.4,0.3,142,13.2,0.6,25,1,2.3V,,,"(2, 65)",E OFF MIYAGI PREF,142.22,38.406666666666666,2011,6,967
2,12,28,22.9,0.1,38,39.9,0.2,142,06.3,0.6,34,1,3.7V,,,"(2, 65)",E OFF MIYAGI PREF,142.105,38.665,2011,6,968
2,12,30,29.6,0.1,37,49.0,0.4,142,05.5,0.9,33,3,2.3V,,,"(2, 68)",SE OFF MIYAGI PREF,142.09166666666667,37.81666666666667,2011,6,969
2,12,34,55.9,0.1,39,01.5,0.3,142,22.8,0.7,33,1,3.2V,,,"(2, 62)",E OFF IWATE PREF,142.38,39.025,2011,6,970
2,12,36,18.9,0.1,39,01.9,0.4,142,21.6,0.8,33,2,2.5V,,,"(2, 62)",E OFF IWATE PREF,142.36,39.031666666666666,2011,6,971
2,12,38,26.1,0.2,37,27.1,0.3,141,17.4,1.2,28,2,1.7V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.29,37.45166666666667,2011,6,973
2,12,39,05.4,0.1,37,24.4,0.2,141,16.6,0.7,28,1,2.6V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.27666666666667,37.406666666666666,2011,6,974
2,12,43,11.5,0.1,38,17.8,0.4,141,50.8,0.7,62,1,2.0V,,,"(2, 65)",E OFF MIYAGI PREF,141.84666666666666,38.29666666666667,2011,6,977
2,12,58,05.2,0.1,38,58.7,0.3,141,59.9,0.7,50,1,3.0V,,,"(2, 66)",KINKAZAN REGION,141.99833333333333,38.97833333333333,2011,6,986
2,13,08,50.9,0.2,38,47.9,0.6,142,24.2,1.2,34,4,1.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.40333333333334,38.79833333333333,2011,6,999
2,13,14,38.9,0.2,37,48.8,0.5,141,58.0,1.2,33,3,2.3V,,,"(2, 68)",SE OFF MIYAGI PREF,141.96666666666667,37.81333333333333,2011,6,1006
2,13,15,37.9,0.1,38,53.3,0.4,142,24.1,0.7,39,2,1.7V,,,"(2, 65)",E OFF MIYAGI PREF,142.40166666666667,38.888333333333335,2011,6,1007
2,13,22,53.2,0.1,39,00.3,0.4,142,40.5,0.7,19,3,1.8V,,,"(2, 62)",E OFF IWATE PREF,142.675,39.005,2011,6,1012
2,13,25,14.4,0.1,39,02.4,0.3,142,20.2,0.7,32,2,1.6V,,,"(2, 62)",E OFF IWATE PREF,142.33666666666667,39.04,2011,6,1013
2,13,27,11.9,0.2,38,47.7,0.4,142,32.3,0.9,30,3,2.5V,,,"(2, 65)",E OFF MIYAGI PREF,142.53833333333333,38.795,2011,6,1015
2,13,32,54.4,0.1,37,24.9,0.3,141,45.6,0.7,39,3,1.8V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.76,37.415,2011,6,1016
2,14,19,58.4,0.2,37,38.0,1.1,144,18.8,1.4,29,,3.2V,,,"(8,327)",FAR E OFF NORTH HONSHU,144.31333333333333,37.63333333333333,2011,6,1042
2,14,45,58.3,0.2,38,44.5,0.9,144,25.0,1.1,44,,3.3V,,,"(8,327)",FAR E OFF NORTH HONSHU,144.41666666666666,38.74166666666667,2011,6,1056
2,15,18,12.2,0.1,37,37.2,0.3,141,54.0,0.8,24,3,2.9V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.9,37.62,2011,6,1067
2,15,33,27.8,0.0,38,09.3,0.2,141,24.8,0.3,18,1,2.3V,,,"(2, 67)",SENDAI BAY REGION,141.41333333333333,38.155,2011,6,1072
2,15,37,35.4,0.2,39,06.3,0.8,144,07.0,0.9,38,,3.6V,,,"(2, 63)",FAR E OFF SANRIKU,144.11666666666667,39.105,2011,6,1074
2,15,40,10.1,0.2,37,36.8,0.4,142,03.3,1.0,24,4,3.2V,,,"(2, 68)",SE OFF MIYAGI PREF,142.055,37.61333333333333,2011,6,1077
2,16,16,36.9,0.1,37,39.2,0.4,142,00.4,0.8,33,3,2.6V,,,"(2, 68)",SE OFF MIYAGI PREF,142.00666666666666,37.653333333333336,2011,6,1100
2,16,29,58.7,0.0,38,52.9,0.1,141,00.8,0.1,10,1,0.9V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.01333333333332,38.88166666666667,2011,6,1110
2,16,33,44.9,0.2,38,34.6,0.5,143,02.5,1.3,21,5,2.5V,,,"(2, 64)",FAR E OFF MIYAGI PREF,143.04166666666666,38.57666666666667,2011,6,1114
2,17,03,10.6,0.2,37,40.0,0.4,141,59.9,0.9,29,4,2.6V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.99833333333333,37.666666666666664,2011,6,1133
2,17,33,44.9,0.2,37,53.8,1.0,144,19.5,1.1,5,,3.8V,,,"(8,327)",FAR E OFF NORTH HONSHU,144.325,37.89666666666667,2011,6,1152
2,17,35,38.1,0.1,38,46.7,0.3,142,13.7,0.8,36,2,2.3V,,,"(2, 65)",E OFF MIYAGI PREF,142.22833333333332,38.778333333333336,2011,6,1153
2,17,50,09.5,0.1,37,28.4,0.2,141,19.8,0.5,27,1,2.1V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.33,37.473333333333336,2011,6,1163
2,18,07,33.6,0.1,39,03.7,0.3,142,27.4,0.6,33,1,2.8V,,,"(2, 62)",E OFF IWATE PREF,142.45666666666668,39.06166666666667,2011,6,1166
2,18,38,18.9,0.2,37,41.0,0.5,142,19.2,1.4,26,5,2.5V,,,"(2, 68)",SE OFF MIYAGI PREF,142.32,37.68333333333333,2011,6,1188
2,19,01,53.6,0.0,38,17.2,0.2,141,24.8,0.4,65,1,1.9V,,,"(2, 66)",KINKAZAN REGION,141.41333333333333,38.28666666666667,2011,6,1208
2,19,21,31.4,0.1,37,27.1,0.2,141,16.9,0.6,29,1,3.2V,,,"(2, 69)",E OFF FUKUSHIMA PREF,141.28166666666667,37.45166666666667,2011,6,1220
2,19,36,30.9,0.2,38,47.7,0.4,142,38.9,0.8,24,2,2.7V,,,"(2, 65)",E OFF MIYAGI PREF,142.64833333333334,38.795,2011,6,1229
2,19,39,57.5,0.1,38,24.8,0.4,142,05.0,0.7,28,1,2.9V,,,"(2, 65)",E OFF MIYAGI PREF,142.08333333333334,38.413333333333334,2011,6,1231
2,19,43,43.8,0.1,38,16.0,0.3,141,51.7,0.4,61,1,1.9V,,,"(2, 65)",E OFF MIYAGI PREF,141.86166666666668,38.266666666666666,2011,6,1234
2,19,45,39.1,0.2,37,40.1,0.9,142,53.1,1.3,26,,2.8V,,,"(2, 70)",FAR E OFF FUKUSHIMA PREF,142.885,37.66833333333334,2011,6,1236
2,19,53,46.1,0.0,39,04.7,0.2,142,21.7,0.4,31,1,1.7V,,,"(2, 62)",E OFF IWATE PREF,142.36166666666668,39.07833333333333,2011,6,1240
2,19,57,45.0,0.1,38,25.0,0.4,142,13.8,0.5,26,2,1.8V,,,"(2, 65)",E OFF MIYAGI PREF,142.23,38.416666666666664,2011,6,1242
2,20,00,52.4,0.1,38,39.5,0.2,142,02.7,0.6,43,1,3.2V,,,"(2, 65)",E OFF MIYAGI PREF,142.045,38.65833333333333,2011,6,1243
2,20,01,40.4,0.1,38,48.4,0.3,141,35.9,0.6,73,1,2.1V,,,"(2, 50)",NORTHERN MIYAGI PREF,141.59833333333333,38.806666666666665,2011,6,1244
2,20,22,35.9,0.1,39,07.6,0.2,142,25.2,0.6,32,1,3.9V,,1,"(2, 62)",E OFF IWATE PREF,142.42,39.126666666666665,2011,6,1252
2,20,26,43.0,0.1,39,08.0,0.3,142,24.1,0.7,34,1,3.9V,,1,"(2, 62)",E OFF IWATE PREF,142.40166666666667,39.13333333333333,2011,6,1254
2,20,45,09.1,0.1,38,24.9,0.4,142,05.4,0.6,23,2,1.6V,,,"(2, 65)",E OFF MIYAGI PREF,142.09,38.415,2011,6,1260
2,21,12,22.6,0.2,37,30.7,0.7,143,45.8,1.2,28,,3.1V,,,"(2, 70)",FAR E OFF FUKUSHIMA PREF,143.76333333333332,37.51166666666666,2011,6,1272
2,21,17,36.7,0.1,38,32.5,0.2,141,43.3,0.5,54,1,3.3V,,1,"(2, 66)",KINKAZAN REGION,141.72166666666666,38.541666666666664,2011,6,1274
2,21,26,45.5,0.1,38,26.8,0.4,142,14.1,0.7,28,2,3.6V,,,"(2, 65)",E OFF MIYAGI PREF,142.235,38.446666666666665,2011,6,1277
2,21,30,33.2,0.1,38,25.0,0.2,141,50.6,0.5,58,1,3.4V,,1,"(2, 65)",E OFF MIYAGI PREF,141.84333333333333,38.416666666666664,2011,6,1279
