     01 29 39.5 0.3  37 15.0 0.6  142 16.4 1.0   25 5  3.6V        (2, 69) E OFF FUKUSHIMA PREF    
     01 31 12.6 0.0  35 15.0 0.1  137 29.1 0.2   46 1  0.8V        (4,140) SE GIFU PREF            
     01 32 08.6 0.0  43 26.1 0.2  143 04.0 0.3    4 1  0.3V        (1, 10) TAISETSU MOUNTAINS REG  
     01 32 48.0 0.0  36 49.8 0.2  138 37.6 0.1    8 1  0.8V        (4,144) NORTHERN NAGANO PREF    
     01 33 52.7 0.0  41 34.8 0.2  139 22.1 0.4   13 2  1.3V        (1, 18) SW OFF HOKKAIDO         
     01 35 44.4 0.2  35 44.1 1.3  141 23.8 1.3   22 3  2.1V        (3,109) E OFF BOSO PENINSULA    
     01 35 54.0 0.0  37 44.6 0.1  139 55.7 0.1    9 1  1.4V        (2, 54) WESTERN FUKUSHIMA PREF  
     01 37 07.9 0.0  37 03.3 0.0  140 30.6 0.1    8 1  1.7V        (2, 55) MID FUKUSHIMA PREF      
     01 38 13.6 0.4  43 05.8 1.3  146 40.8 2.5   52 3  2.0V        (1, 27) OFF NEMURO PENINSULA    
     01 39 29.8 0.0  37 01.4 0.0  140 40.3 0.1   10 1  1.0V        (2, 56) EASTERN FUKUSHIMA PREF  
     01 40 35.5 0.0  32 32.2 0.0  131 30.9 0.1   14 1              (7,278) NORTHERN MIYAZAKI PREF  
     01 40 47.4 0.0  37 03.1 0.0  140 39.1 0.1    9 1  1.0V        (2, 56) EASTERN FUKUSHIMA PREF  
     01 46 08.3 0.0  36 52.1 0.1  140 33.0 0.1    8 1  1.0V        (3, 86) NORTHERN IBARAKI PREF   
     01 49 08.9 0.0  33 01.7 0.1  130 43.7 0.1   11 1  0.3V        (7,269) NW KUMAMOTO PREF        
     01 49 11.2 0.1  35 41.3 0.3  140 34.9 0.4   44 1  1.8V        (3, 92) NORTHERN CHIBA PREF     
     01 50 12.6 0.1  36 33.5 0.3  140 54.9 0.8   48 1  2.6V        (3,111) E OFF IBARAKI PREF      
     01 50 42.2 0.1  42 30.3 0.6  143 00.5 1.1   93 2  0.7V        (1, 11) HIDAKA MOUNTAINS REGION 
     01 51 22.7 0.0  35 18.2 0.1  138 42.4 0.1   11 1  0.8V        (4,153) MT. FUJI REGION         
     01 53 29.0 0.1  36 39.3 0.3  141 01.8 0.6   44 1  1.6V        (3,111) E OFF IBARAKI PREF      
     01 54 19.1 0.0  36 56.5 0.0  140 34.9 0.1    7 1  1.1V        (2, 55) MID FUKUSHIMA PREF      
     01 54 39.9 0.0  41 50.2 1.0  140 18.6 1.1  147    1.4V        (1, 16) OSHIMA PEN REG HOKKAIDO 
     01 54 53.9 0.0  37 47.8 0.1  140 00.0 0.2   10 1  0.8V        (2, 53) SOUTHERN YAMAGATA PREF  
     01 55 20.3 0.0  33 01.7 0.1  130 43.3 0.1   12 1  0.5V        (7,269) NW KUMAMOTO PREF        
     01 55 30.1 0.2  36 18.6 0.5  142 28.6 1.2   25    3.0V        (3,113) FAR E OFF KANTO         
   1 01 55 48.3 0.0  37 48.7 0.1  139 59.4 0.2   10 1  0.9V        (2, 53) SOUTHERN YAMAGATA PREF  
     01 57 33.0 0.0  37 07.0 0.2  140 50.7 0.3    6 1  1.1V        (2, 56) EASTERN FUKUSHIMA PREF  
     02 01 12.8 0.1  41 44.2 0.6  143 22.9 1.0   37 1  0.8V        (1, 29) SE OFF ERIMOMISAKI      
     02 01 28.9 0.0  37 44.4 0.1  139 58.3 0.2    9 1  1.9V        (2, 54) WESTERN FUKUSHIMA PREF  
     02 02 40.3 0.0  35 56.7 0.0  137 46.1 0.1   11 0  0.6V        (4,147) CENTRAL NAGANO PREF     
     02 02 52.0 0.1  36 56.7 0.2  141 10.5 0.6   32 1  3.4V        (2, 69) E OFF FUKUSHIMA PREF    
     02 05 20.1 0.1  37 20.9 0.2  141 16.9 0.7   28 1  1.8V        (2, 69) E OFF FUKUSHIMA PREF    
     02 05 30.3 0.0  36 55.3 0.0  140 41.1 0.2    6 0  1.4V        (2, 56) EASTERN FUKUSHIMA PREF  
     02 06 35.2 0.1  39 32.1 0.2  142 02.8 0.5   48 1  1.8V        (2, 49) SOUTHERN IWATE PREF     
     02 08 50.3 0.0  36 59.9 0.0  140 40.3 0.1    9 1  1.0V        (2, 56) EASTERN FUKUSHIMA PREF  
     02 09 11.8 0.1  37 16.7 0.3  141 29.8 0.8   43 2  2.3V        (2, 69) E OFF FUKUSHIMA PREF    
     02 10 30.7 0.1  38 52.9 0.4  142 05.7 0.8   43 2  2.1V        (2, 66) KINKAZAN REGION         
     02 11 57.0 0.1  36 23.3 0.1  141 00.3 0.5   21 1  4.9D 4.7W 3 (3,111) E OFF IBARAKI PREF       NPS
     02 18 10.3 0.1  39 11.8 0.2  142 27.7 0.5   31 1  1.8V        (2, 62) E OFF IWATE PREF        
     02 20 10.1 0.1  37 18.3 0.4  141 40.2 0.7   38 2  2.0V        (2, 69) E OFF FUKUSHIMA PREF    
     02 21 17.2 0.0  37 43.1 0.1  139 58.6 0.1    8 1  1.2V        (2, 54) WESTERN FUKUSHIMA PREF  
     02 22 12.1 0.1  36 10.2 0.3  141 13.7 0.8   27 2  1.2V        (3,111) E OFF IBARAKI PREF      
     02 22 45.7 0.1  38 20.9 0.3  141 44.3 0.5   55 1  1.8V        (2, 66) KINKAZAN REGION         
     02 24 03.4 0.1  38 21.2 0.4  142 05.5 0.6   30 1  1.9V        (2, 65) E OFF MIYAGI PREF       
     02 25 40.3 0.0  36 55.5 0.0  140 41.1 0.1    6 1  1.8V        (2, 56) EASTERN FUKUSHIMA PREF  
     02 31 25.0 0.1  37 02.1 0.3  141 06.2 0.8   49 1  2.0V        (2, 69) E OFF FUKUSHIMA PREF    
     02 32 49.5 0.1  39 30.6 0.2  142 46.8 0.4   20 1  2.0V        (2, 62) E OFF IWATE PREF        
     02 33 29.3 0.0  36 44.2 0.0  140 38.6 0.1    8 0  0.7V        (3, 86) NORTHERN IBARAKI PREF   
     02 35 26.1 0.0  37 44.4 0.2  139 58.1 0.2    6 2  0.9V        (2, 54) WESTERN FUKUSHIMA PREF  
     02 35 27.9 0.0  36 43.9 0.1  140 35.6 0.3    5 1  1.7V        (3, 86) NORTHERN IBARAKI PREF   
     02 35 34.9 0.1  37 20.1 0.2  141 15.1 0.5   30 1  2.2V        (2, 69) E OFF FUKUSHIMA PREF    
     02 35 48.6 0.0  34 42.1 0.1  132 02.0 0.1   12 0  0.3V        (6,225) SW SHIMANE PREF         
     02 36 58.1 0.0  38 47.6 0.2  141 40.2 0.5   70 1  2.1V        (2, 66) KINKAZAN REGION         
     02 37 14.5 0.2  36 14.3 0.4  141 00.0 1.1   41 2  1.8V        (3,111) E OFF IBARAKI PREF      
