Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME
,03,21,48.9,0.0,33,53.6,0.1,135,06.7,0.1,7,0,0.5V,,,"(5,191)",CENTRAL WAKAYAMA PREF
,03,21,59.5,0.0,33,59.0,0.1,135,12.6,0.1,8,0,0.5V,,,"(5,191)",CENTRAL WAKAYAMA PREF
,03,22,23.1,0.2,37,18.9,0.6,141,56.3,1.0,28,4,3.1V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,03,23,53.1,0.0,43,25.6,0.1,142,41.5,0.2,3,1,0.4V,,,"(1, 10)",TAISETSU MOUNTAINS REG
,03,24,25.3,0.0,33,01.5,0.1,130,43.8,0.1,10,1,0.3V,,,"(7,269)",NW KUMAMOTO PREF
,03,26,21.3,0.0,33,00.4,0.3,131,50.9,0.3,54,1,0.8V,,,"(7,279)",SOUTHERN OITA PREF
,03,27,25.3,0.1,36,24.5,0.2,140,47.7,0.5,25,1,1.7V,,,"(3,111)",E OFF IBARAKI PREF
,03,27,56.5,0.1,37,19.1,0.3,141,36.3,0.7,22,2,2.8V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,03,33,45.4,0.1,29,29.5,0.4,129,41.2,0.7,4,2,,,,"(7,285)",NEAR TOKARA ISLANDS
,03,35,15.2,0.1,29,21.4,0.2,131,23.1,0.6,46,,1.8v,,,"(7,296)",NEAR AMAMI-OSHIMA ISLAND
,03,36,09.6,0.0,33,01.7,0.1,130,44.4,0.1,11,1,1.0V,,,"(7,269)",NW KUMAMOTO PREF
,03,37,24.5,0.3,42,45.7,1.8,141,57.7,1.4,36,2,,,,"(1, 13)",ISHIKARI DEPRESSION
,03,42,52.8,0.2,32,02.4,0.2,129,15.4,0.4,1,3,1.4V,,,"(7,284)",SW OFF KYUSHU
,03,43,53.5,0.1,36,17.6,0.3,140,54.4,0.9,43,1,1.7V,,,"(3,111)",E OFF IBARAKI PREF
,03,48,25.8,0.0,37,00.8,0.1,140,42.9,0.2,8,1,3.5V,,2,"(2, 56)",EASTERN FUKUSHIMA PREF   NPS
,03,52,30.3,0.0,27,57.4,0.3,129,23.7,0.3,25,1,0.6v,,,"(7,296)",NEAR AMAMI-OSHIMA ISLAND
,03,52,59.4,0.0,37,06.0,0.1,140,50.6,0.2,8,1,1.8V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
1,03,53,01.2,0.1,40,47.1,0.3,139,16.6,0.6,17,2,2.2V,,,"(2, 59)",W OFF AOMORI PREF
,03,56,46.3,0.0,37,40.5,0.1,139,56.2,0.1,8,1,1.2V,,,"(2, 54)",WESTERN FUKUSHIMA PREF
,03,57,47.4,0.1,35,48.6,0.2,140,54.7,0.5,13,1,1.8V,,,"(3,110)",NEAR CHOSHI CITY
,03,58,14.6,0.1,37,13.8,0.4,141,37.3,0.7,32,2,1.8V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,03,59,10.3,0.1,38,18.9,0.3,140,42.4,0.4,12,1,1.3V,,,"(2, 51)",SOUTHERN MIYAGI PREF
,03,59,12.4,0.1,24,39.1,0.6,123,51.1,0.4,0,,1.4V,,,"(7,289)",NW OFF ISHIGAKIJIMA IS
,04,02,55.5,0.5,24,47.5,2.9,122,25.4,1.2,1,5,2.9V,,,"(7,289)",NW OFF ISHIGAKIJIMA IS
,04,04,15.5,0.0,37,43.7,0.1,139,58.3,0.1,9,1,1.5V,,,"(2, 54)",WESTERN FUKUSHIMA PREF
,04,06,23.8,0.2,37,38.8,0.4,141,59.8,0.8,31,3,3.3V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,04,06,26.0,0.2,43,20.7,1.0,146,23.9,1.3,82,2,2.3V,,,"(1, 27)",OFF NEMURO PENINSULA
,04,11,21.2,0.2,43,41.2,0.8,143,26.8,1.5,71,2,1.9V,,,"(1,  4)",ABASHIRI REGION
,04,16,40.7,0.3,24,49.0,1.2,122,24.7,0.4,1,4,2.4v,,,"(7,289)",NW OFF ISHIGAKIJIMA IS
,04,17,41.9,0.0,37,10.2,0.1,140,41.9,0.2,6,1,2.0V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,04,22,56.1,0.0,37,10.4,0.1,140,41.8,0.1,6,1,1.9V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
